t   links   init                                
c   fr  to  len mode    type    lanes   vdfunc  ul1 ul2 ul3
a   101312  101303  0.63    a   243 2   51  475 2000    243
a   101312  101342  0.3 a   243 2   51  476 2000    243
a   101319  101349  0.1 a   443 1   52  477 870 443
a   101319  101353  0.22    a   343 2   52  478 1740    343
a   101322  101302  0.35    a   113 2   50  479 2300    113
a   101322  101362  0.35    a   112 2   50  480 2300    112
a   101323  101303  0.25    a   442 1   51  481 1000    442
a   101323  500018  0.2 a   900 5   12  482 10000   900
a   101328  101363  0.26    a   112 2   70  483 4000    112
a   101328  101364  0.3 a   112 2   70  484 4000    112
a   101335  101336  0.19    a   112 2   50  485 2300    112
a   101335  101363  0.17    a   112 2   50  486 2300    112
a   101336  101335  0.19    a   112 2   50  487 2300    112
a   101336  101362  0.21    a   112 2   50  488 2300    112
a   101337  101338  0.46    a   441 1   52  489 870 441
a   101337  101508  0.38    a   441 1   52  490 870 441
a   101338  101337  0.46    a   441 1   52  491 870 441
a   101338  101369  0.62    a   441 1   52  492 870 441
a   101339  101342  0.21    a   442 1   51  493 1000    442
a   101339  500019  0.2 a   900 5   12  494 10000   900
a   101342  101312  0.3 a   243 2   51  495 2000    243
a   101342  101339  0.21    a   442 1   51  496 1000    442
a   101342  101343  0.12    a   243 2   51  497 2000    243
a   101343  101319  0.19    a   343 2   52  498 1740    343
a   101343  101342  0.12    a   243 2   51  499 2000    243
a   101343  101344  0.34    a   243 2   51  500 2000    243
a   101344  101343  0.34    a   243 2   51  501 2000    243
a   101344  101372  0.38    a   343 2   51  502 2000    343
a   101344  101484  0.24    a   233 2   51  503 2000    233
a   101345  101482  0.6 a   233 2   50  504 2300    233
a   101345  101493  0.33    a   233 2   51  505 2000    233
a   101349  101319  0.1 a   443 1   52  506 870 443
a   101349  101342  0.19    a   443 1   52  507 870 443
a   101352  101274  0.23    a   443 2   52  508 1740    443
a   101352  101357  0.2 a   443 2   52  509 1740    443
a   101352  101359  0.04    a   443 2   52  510 1740    443
a   101352  500020  0.2 a   900 5   12  511 10000   900
a   101353  101356  0.07    a   343 2   52  512 1740    343
a   101353  101359  0.2 a   443 2   52  513 1740    443
